DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/04/2012;07:05:01;59;6664.27;6671.56;6664.27;6672.6
05/04/2012;07:06:01;54;6671.47;6668.61;6667.95;6674.1
05/04/2012;07:07:01;50;6668.95;6664.81;6662.92;6669.37
05/04/2012;07:08:01;53;6663.89;6654.69;6652.24;6664.03
05/04/2012;07:09:01;53;6654.92;6653.41;6651.3;6655
05/04/2012;07:10:01;56;6653.45;6656.56;6653.03;6656.83
05/04/2012;07:11:01;49;6656.46;6661.27;6656.46;6662.1
05/04/2012;07:12:01;50;6661.56;6666.51;6659.83;6666.66
05/04/2012;07:13:01;44;6666.9;6662.05;6659.77;6666.9
05/04/2012;07:14:01;44;6661.82;6661.36;6658.69;6661.97
05/04/2012;07:15:01;41;6659.46;6664.4;6658.04;6664.47
05/04/2012;07:16:01;47;6665.39;6671.37;6665.39;6671.37
05/04/2012;07:17:01;50;6671.46;6677.83;6671.46;6681.84
05/04/2012;07:18:01;41;6677.98;6675.69;6673.07;6678.44
05/04/2012;07:19:01;40;6676.07;6672.57;6672.57;6676.07
05/04/2012;07:20:01;49;6672.21;6670.96;6668.57;6673.49
05/04/2012;07:21:01;43;6670.85;6668.94;6665.71;6671.46
05/04/2012;07:22:01;49;6668.68;6674.47;6667.42;6675.09
05/04/2012;07:23:01;46;6674.55;6678.93;6673.88;6679.05
05/04/2012;07:24:01;53;6678.98;6677.17;6677.17;6680.25
05/04/2012;07:25:01;48;6676.83;6663.31;6662.3;6677.17
05/04/2012;07:26:01;54;6663.67;6661;6658.62;6664.62
05/04/2012;07:27:01;50;6661.16;6666.71;6661.16;6667.06
05/04/2012;07:28:01;49;6666.83;6668.83;6664.62;6668.89
05/04/2012;07:29:01;46;6668.71;6671.54;6668.68;6671.65
05/04/2012;07:30:01;45;6671.88;6668.35;6667.43;6672.15
05/04/2012;07:31:01;51;6667.79;6660.94;6660.76;6667.86
05/04/2012;07:32:01;43;6660.85;6664.39;6659.96;6664.77
05/04/2012;07:33:01;43;6664.37;6666.21;6663.8;6666.95
05/04/2012;07:34:01;50;6666.42;6665.11;6662.71;6666.47
05/04/2012;07:35:01;51;6665.51;6671.38;6665.41;6671.58
05/04/2012;07:36:01;50;6670.64;6669.18;6669.1;6672.06
05/04/2012;07:37:01;46;6669.09;6669.21;6669.07;6670.27
05/04/2012;07:38:01;44;6669.16;6670.51;6668.56;6670.51
05/04/2012;07:39:01;46;6670.69;6674.69;6670.45;6674.69
05/04/2012;07:40:01;55;6674.46;6682.03;6674.46;6682.03
05/04/2012;07:41:01;49;6681.27;6674.27;6674.27;6681.27
05/04/2012;07:42:01;47;6674.38;6666.86;6666.86;6674.38
05/04/2012;07:43:01;45;6667.11;6664.75;6664.05;6667.11
05/04/2012;07:44:01;44;6664.97;6669.72;6664.64;6669.72
05/04/2012;07:45:01;36;6669.82;6668.92;6668.89;6670.06
05/04/2012;07:46:01;40;6668.97;6665.27;6665.21;6669.08
05/04/2012;07:47:01;42;6666.41;6668.69;6666.41;6670.67
05/04/2012;07:48:01;46;6668.48;6663.42;6663.42;6668.64
05/04/2012;07:49:01;34;6663.31;6665.19;6663.31;6665.29
05/04/2012;07:50:01;43;6664.98;6667.15;6663.52;6667.68
05/04/2012;07:51:01;36;6667.27;6664.96;6664.13;6667.27
05/04/2012;07:52:01;38;6665.41;6669.4;6664.78;6669.7
05/04/2012;07:53:01;45;6669.35;6663.28;6663.28;6669.35
05/04/2012;07:54:01;57;6663.19;6657.34;6655.13;6663.19
05/04/2012;07:55:01;52;6657.07;6658.04;6657.02;6660.67
05/04/2012;07:56:01;53;6658.05;6646.74;6646.74;6658.05
